"Group","Device","Serial Number","IP Address","Asset Number","Location","Misc Supply Label","Level"
"Direct Sales > Pilkington Polska","KONICA MINOLTA bizhub 4700P","45147PHH4DH3F-100-28","10.16.38.7","","","Maintenance Kit","93%"
"Direct Sales > Pilkington Polska","KONICA MINOLTA bizhub 4700P","45147PHH4GFPC-100-28","10.16.161.162","","","Maintenance Kit","100%"
"Direct Sales > Pilkington Polska","KONICA MINOLTA bizhub 4700P","45147PHH43TKZ-100-28","10.16.41.14","","","Maintenance Kit","100%"
"Direct Sales > Pilkington Polska","KONICA MINOLTA bizhub 4700P","45147PHH42T6R-100-28","10.16.162.99","","","Maintenance Kit","100%"
"Direct Sales > Pilkington Polska","KONICA MINOLTA bizhub 4700P","45147PHH42T6R-100-28","10.16.162.99","","","Zespół obraz.","80%"
"Direct Sales > Pilkington Polska","KONICA MINOLTA bizhub 4700P","45147PHH43TKZ-100-28","10.16.41.14","","","Zespół obraz.","89%"
"Direct Sales > Pilkington Polska","KONICA MINOLTA bizhub 4700P","45147PHH4GFPC-100-28","10.16.161.162","","","Zespół obraz.","92%"
"Direct Sales > Pilkington Polska","KONICA MINOLTA bizhub 4700P","45147PHH4DH3F-100-28","10.16.38.7","","","Zespół obraz.","76%"
"Direct Sales > Pilkington Polska","KONICA MINOLTA bizhub 4700P","45147PHH44VRC-100-28","10.16.100.160","","","Zespół obraz.","92%"
"Direct Sales > Pilkington Polska","KONICA MINOLTA bizhub 4700P","45147PHH48WM2-100-28","10.16.41.71","","","Zespół obraz.","100%"
"Direct Sales > Pilkington Polska","KONICA MINOLTA bizhub 4700P","45147PHH4GFPW-100-28","10.16.162.203","","","Zespół obraz.","43%"
"Direct Sales > Pilkington Polska","KONICA MINOLTA bizhub 4700P","45147PHH4C3V4-100-28","10.16.33.78","","","Zespół obraz.","100%"
"Direct Sales > Pilkington Polska","KONICA MINOLTA bizhub 4700P","45147PHH43TGZ-100-28","10.16.37.245","","","Zespół obraz.","89%"
"Direct Sales > Pilkington Polska","KONICA MINOLTA bizhub 4700P","45147PHH43THP-100-28","10.16.38.16","","","Zespół obraz.","77%"
"Direct Sales > Pilkington Polska","KONICA MINOLTA bizhub 4700P","45147PHH48WLN-100-28","10.16.45.35","","","Zespół obraz.","79%"
"Direct Sales > Pilkington Polska","KONICA MINOLTA bizhub 4700P","45147PHH48WLN-100-28","10.16.45.35","","","Zestaw konserw.","72%"
"Direct Sales > Pilkington Polska","KONICA MINOLTA bizhub 4700P","45147PHH43THP-100-28","10.16.38.16","","","Zestaw konserw.","94%"
"Direct Sales > Pilkington Polska","KONICA MINOLTA bizhub 4700P","45147PHH43TGZ-100-28","10.16.37.245","","","Zestaw konserw.","100%"
"Direct Sales > Pilkington Polska","KONICA MINOLTA bizhub 4700P","45147PHH4C3V4-100-28","10.16.33.78","","","Zestaw konserw.","100%"
"Direct Sales > Pilkington Polska","KONICA MINOLTA bizhub 4700P","45147PHH4GFPW-100-28","10.16.162.203","","","Zestaw konserw.","88%"
"Direct Sales > Pilkington Polska","KONICA MINOLTA bizhub 4700P","45147PHH48WM2-100-28","10.16.41.71","","","Zestaw konserw.","100%"
"Direct Sales > Pilkington Polska","KONICA MINOLTA bizhub 4700P","45147PHH44VRC-100-28","10.16.100.160","","","Zestaw konserw.","100%"
"Direct Sales > Pilkington Polska","KONICA MINOLTA bizhub 4700P","45147PHH4DH3F-100-28","10.16.38.7","","","Zestaw konserw.","93%"
"Direct Sales > Pilkington Polska","KONICA MINOLTA bizhub 4700P","45147PHH4GFPC-100-28","10.16.161.162","","","Zestaw konserw.","100%"
"Direct Sales > Pilkington Polska","KONICA MINOLTA bizhub 4700P","45147PHH43TKZ-100-28","10.16.41.14","","","Zestaw konserw.","100%"
"Direct Sales > Pilkington Polska","KONICA MINOLTA bizhub 4700P","45147PHH42T6R-100-28","10.16.162.99","","","Zestaw konserw.","100%"
"Direct Sales > Pilkington Polska","KONICA MINOLTA bizhub 4702P","AAFH021004474","10.16.58.30","5623#COK/N284881","","Black Cartridge","100%"
"Direct Sales > Pilkington Polska","KONICA MINOLTA bizhub 4702P","AAFH021004726","10.16.162.70","5623#COK/N284327","","Black Cartridge","84%"
"Direct Sales > Pilkington Polska","KONICA MINOLTA bizhub 4702P","AAFH021004484","10.16.37.39","5623#COK/N285476","","Black Cartridge","68%"
"Direct Sales > Pilkington Polska","KONICA MINOLTA bizhub 4702P","AAFH021004755","10.16.162.36","5623#COK/N284325","","Black Cartridge","100%"
"Direct Sales > Pilkington Polska","KONICA MINOLTA bizhub 4702P","AAFH021004918","10.16.112.158","","","Black Cartridge","100%"
"Direct Sales > Pilkington Polska","KONICA MINOLTA bizhub 4702P","AAFH021004769","10.16.32.207","5623#COK/N285470","","Black Cartridge","100%"
"Direct Sales > Pilkington Polska","KONICA MINOLTA bizhub 4702P","AAFH021004769","10.16.32.207","5623#COK/N285470","","Imaging Unit","100%"
"Direct Sales > Pilkington Polska","KONICA MINOLTA bizhub 4702P","AAFH021004918","10.16.112.158","","","Imaging Unit","100%"
"Direct Sales > Pilkington Polska","KONICA MINOLTA bizhub 4702P","AAFH021004755","10.16.162.36","5623#COK/N284325","","Imaging Unit","100%"
"Direct Sales > Pilkington Polska","KONICA MINOLTA bizhub 4702P","AAFH021004484","10.16.37.39","5623#COK/N285476","","Imaging Unit","100%"
"Direct Sales > Pilkington Polska","KONICA MINOLTA bizhub 4702P","AAFH021004726","10.16.162.70","5623#COK/N284327","","Imaging Unit","100%"
"Direct Sales > Pilkington Polska","KONICA MINOLTA bizhub 4702P","AAFH021004474","10.16.58.30","5623#COK/N284881","","Imaging Unit","100%"
"Direct Sales > Pilkington Polska","KONICA MINOLTA bizhub 4702P","AAFH021004474","10.16.58.30","5623#COK/N284881","","Maintenance Kit","100%"
"Direct Sales > Pilkington Polska","KONICA MINOLTA bizhub 4702P","AAFH021004726","10.16.162.70","5623#COK/N284327","","Maintenance Kit","100%"
"Direct Sales > Pilkington Polska","KONICA MINOLTA bizhub 4702P","AAFH021004484","10.16.37.39","5623#COK/N285476","","Maintenance Kit","100%"
"Direct Sales > Pilkington Polska","KONICA MINOLTA bizhub 4702P","AAFH021004755","10.16.162.36","5623#COK/N284325","","Maintenance Kit","100%"
"Direct Sales > Pilkington Polska","KONICA MINOLTA bizhub 4702P","AAFH021004918","10.16.112.158","","","Maintenance Kit","100%"
"Direct Sales > Pilkington Polska","KONICA MINOLTA bizhub 4702P","AAFH021004769","10.16.32.207","5623#COK/N285470","","Maintenance Kit","100%"
"Direct Sales > Pilkington Polska","KONICA MINOLTA bizhub C368","A7PU027013516","10.16.37.173","5623#COK/N283046","","Waste Toner Box","Ok"
"Direct Sales > Pilkington Polska > Pilkington Automotive > PL10 > Box","KONICA MINOLTA bizhub 4700P","A63N021039886","10.16.45.34","5623#COK/N228978","","Imaging Unit","100%"
"Direct Sales > Pilkington Polska > Pilkington Automotive > PL10 > Box","KONICA MINOLTA bizhub 4700P","A63N021042252","10.16.45.35","5623#COK/N228984","","Imaging Unit","52%"
"Direct Sales > Pilkington Polska > Pilkington Automotive > PL10 > Box","KONICA MINOLTA bizhub 4700P","A63N021041981","10.16.33.185","5623#COK/N228970","","Imaging Unit","29%"
"Direct Sales > Pilkington Polska > Pilkington Automotive > PL10 > Box","KONICA MINOLTA bizhub 4700P","A63N021039887","10.16.45.37","5623#COK/N228980","","Imaging Unit","94%"
"Direct Sales > Pilkington Polska > Pilkington Automotive > PL10 > Box","KONICA MINOLTA bizhub 4700P","A63N021039882","10.16.45.32","5623#COK/N228982","","Imaging Unit","25%"
"Direct Sales > Pilkington Polska > Pilkington Automotive > PL10 > Box","KONICA MINOLTA bizhub 4700P","A63N021042253","10.16.45.31","5623#COK/N228972","","Imaging Unit","73%"
"Direct Sales > Pilkington Polska > Pilkington Automotive > PL10 > Box","KONICA MINOLTA bizhub 4700P","A63N021042253","10.16.45.31","5623#COK/N228972","","Maintenance Kit","80%"
"Direct Sales > Pilkington Polska > Pilkington Automotive > PL10 > Box","KONICA MINOLTA bizhub 4700P","A63N021039882","10.16.45.32","5623#COK/N228982","","Maintenance Kit","82%"
"Direct Sales > Pilkington Polska > Pilkington Automotive > PL10 > Box","KONICA MINOLTA bizhub 4700P","A63N021039887","10.16.45.37","5623#COK/N228980","","Maintenance Kit","100%"
"Direct Sales > Pilkington Polska > Pilkington Automotive > PL10 > Box","KONICA MINOLTA bizhub 4700P","A63N021041981","10.16.33.185","5623#COK/N228970","","Maintenance Kit","83%"
"Direct Sales > Pilkington Polska > Pilkington Automotive > PL10 > Box","KONICA MINOLTA bizhub 4700P","A63N021042252","10.16.45.35","5623#COK/N228984","","Maintenance Kit","65%"
"Direct Sales > Pilkington Polska > Pilkington Automotive > PL10 > Box","KONICA MINOLTA bizhub 4700P","A63N021039886","10.16.45.34","5623#COK/N228978","","Maintenance Kit","60%"
"Direct Sales > Pilkington Polska > Pilkington Automotive > PL10 > Box","KONICA MINOLTA bizhub 4700P","A63N021042252","10.16.45.35","5623#COK/N228984","","Toner czarny",""
"Direct Sales > Pilkington Polska > Pilkington Automotive > PL10 > Box","KONICA MINOLTA bizhub 4700P","A63N021042252","10.16.45.35","5623#COK/N228984","","Zesp obraz.","66%"
"Direct Sales > Pilkington Polska > Pilkington Automotive > PL10 > Box","KONICA MINOLTA bizhub 4700P","A63N021041981","10.16.33.185","5623#COK/N228970","","Zesp obraz.","37%"
"Direct Sales > Pilkington Polska > Pilkington Automotive > PL10 > Box","KONICA MINOLTA bizhub 4700P","A63N021039886","10.16.45.34","5623#COK/N228978","","Zesp obraz.","13%"
"Direct Sales > Pilkington Polska > Pilkington Automotive > PL10 > Box","KONICA MINOLTA bizhub 4700P","A63N021039882","10.16.45.32","5623#COK/N228982","","Zesp obraz.","26%"
"Direct Sales > Pilkington Polska > Pilkington Automotive > PL10 > Box","KONICA MINOLTA bizhub 4700P","A63N021039887","10.16.45.37","5623#COK/N228980","","Zesp obraz.","94%"
"Direct Sales > Pilkington Polska > Pilkington Automotive > PL10 > Box","KONICA MINOLTA bizhub 4700P","A63N021042253","10.16.45.31","5623#COK/N228972","","Zesp obraz.","74%"
"Direct Sales > Pilkington Polska > Pilkington Automotive > PL10 > Box","KONICA MINOLTA bizhub 4700P","A63N021042253","10.16.45.31","5623#COK/N228972","","Zespół obraz.","73%"
"Direct Sales > Pilkington Polska > Pilkington Automotive > PL10 > Box","KONICA MINOLTA bizhub 4700P","A63N021039886","10.16.45.34","5623#COK/N228978","","Zespół obraz.","100%"
"Direct Sales > Pilkington Polska > Pilkington Automotive > PL10 > Box","KONICA MINOLTA bizhub 4700P","A63N021041981","10.16.33.185","5623#COK/N228970","","Zespół obraz.","29%"
"Direct Sales > Pilkington Polska > Pilkington Automotive > PL10 > Box","KONICA MINOLTA bizhub 4700P","A63N021042252","10.16.45.35","5623#COK/N228984","","Zespół obraz.","52%"
"Direct Sales > Pilkington Polska > Pilkington Automotive > PL10 > Box","KONICA MINOLTA bizhub 4700P","A63N021039887","10.16.45.37","5623#COK/N228980","","Zespół obraz.","94%"
"Direct Sales > Pilkington Polska > Pilkington Automotive > PL10 > Box","KONICA MINOLTA bizhub 4700P","A63N021039882","10.16.45.32","5623#COK/N228982","","Zespół obraz.","25%"
"Direct Sales > Pilkington Polska > Pilkington Automotive > PL10 > Box","KONICA MINOLTA bizhub 4700P","A63N021039882","10.16.45.32","5623#COK/N228982","","Zestaw konserw.","82%"
"Direct Sales > Pilkington Polska > Pilkington Automotive > PL10 > Box","KONICA MINOLTA bizhub 4700P","A63N021039887","10.16.45.37","5623#COK/N228980","","Zestaw konserw.","100%"
"Direct Sales > Pilkington Polska > Pilkington Automotive > PL10 > Box","KONICA MINOLTA bizhub 4700P","A63N021042252","10.16.45.35","5623#COK/N228984","","Zestaw konserw.","65%"
"Direct Sales > Pilkington Polska > Pilkington Automotive > PL10 > Box","KONICA MINOLTA bizhub 4700P","A63N021041981","10.16.33.185","5623#COK/N228970","","Zestaw konserw.","83%"
"Direct Sales > Pilkington Polska > Pilkington Automotive > PL10 > Box","KONICA MINOLTA bizhub 4700P","A63N021039886","10.16.45.34","5623#COK/N228978","","Zestaw konserw.","60%"
"Direct Sales > Pilkington Polska > Pilkington Automotive > PL10 > Box","KONICA MINOLTA bizhub 4700P","A63N021042253","10.16.45.31","5623#COK/N228972","","Zestaw konserw.","80%"
"Direct Sales > Pilkington Polska > Pilkington Automotive > PL10 > Box","KONICA MINOLTA bizhub C368","A7PU027001913","10.16.133.37","5623#COK/N241497","BOX","Toner (Black)","69%"
"Direct Sales > Pilkington Polska > Pilkington Automotive > PL10 > Box","KONICA MINOLTA bizhub C368","A7PU027001913","10.16.133.37","5623#COK/N241497","BOX","Toner (Magenta)","92%"
"Direct Sales > Pilkington Polska > Pilkington Automotive > PL10 > Box","KONICA MINOLTA bizhub C368","A7PU027001913","10.16.133.37","5623#COK/N241497","BOX","Toner (Yellow)","91%"
"Direct Sales > Pilkington Polska > Pilkington Automotive > PL10 > Box","KONICA MINOLTA bizhub C368","A7PU027001913","10.16.133.37","5623#COK/N241497","BOX","Waste Toner Box","Ok"
"Direct Sales > Pilkington Polska > Pilkington Automotive > PL10 > Box","PPL0016755 bizhub 4700P","A63N021041961","10.16.45.28","5623#COK/N228968","Sandomierz PAP BOX","Imaging Unit","86%"
"Direct Sales > Pilkington Polska > Pilkington Automotive > PL10 > Box","PPL0016755 bizhub 4700P","A63N021041961","10.16.45.28","5623#COK/N228968","Sandomierz PAP BOX","Maintenance Kit","75%"
"Direct Sales > Pilkington Polska > Pilkington Automotive > PL10 > Box","PPL0016755 bizhub 4700P","A63N021041961","10.16.45.28","5623#COK/N228968","Sandomierz PAP BOX","Zesp obraz.","88%"
"Direct Sales > Pilkington Polska > Pilkington Automotive > PL10 > Box","PPL0016755 bizhub 4700P","A63N021041961","10.16.45.28","5623#COK/N228968","Sandomierz PAP BOX","Zespół obraz.","86%"
"Direct Sales > Pilkington Polska > Pilkington Automotive > PL10 > Box","PPL0016755 bizhub 4700P","A63N021041961","10.16.45.28","5623#COK/N228968","Sandomierz PAP BOX","Zestaw konserw.","75%"
"Direct Sales > Pilkington Polska > Pilkington Automotive > PL10 > Controling","KONICA MINOLTA bizhub 4700P","A63N021044590","10.16.37.109","5623#COK/N254667","","Imaging Unit","79%"
"Direct Sales > Pilkington Polska > Pilkington Automotive > PL10 > Controling","KONICA MINOLTA bizhub 4700P","A63N021044590","10.16.37.109","5623#COK/N254667","","Maintenance Kit","94%"
"Direct Sales > Pilkington Polska > Pilkington Automotive > PL10 > Controling","KONICA MINOLTA bizhub 4700P","A63N021044590","10.16.37.109","5623#COK/N254667","","Zesp obraz.","80%"
"Direct Sales > Pilkington Polska > Pilkington Automotive > PL10 > Controling","KONICA MINOLTA bizhub 4700P","A63N021044590","10.16.37.109","5623#COK/N254667","","Zespół obraz.","79%"
"Direct Sales > Pilkington Polska > Pilkington Automotive > PL10 > Controling","KONICA MINOLTA bizhub 4700P","A63N021044590","10.16.37.109","5623#COK/N254667","","Zestaw konserw.","94%"
"Direct Sales > Pilkington Polska > Pilkington Automotive > PL10 > Lehr1","KONICA MINOLTA bizhub 4700P","A63N021043000","10.16.38.25","5623#COK/N237349","","Imaging Unit","51%"
"Direct Sales > Pilkington Polska > Pilkington Automotive > PL10 > Lehr1","KONICA MINOLTA bizhub 4700P","A63N021043447","10.16.37.44","5623#COK/N237353","","Imaging Unit","7%"
"Direct Sales > Pilkington Polska > Pilkington Automotive > PL10 > Lehr1","KONICA MINOLTA bizhub 4700P","A63N021043010","10.16.38.21","5623#COK/N237357","","Imaging Unit","67%"
"Direct Sales > Pilkington Polska > Pilkington Automotive > PL10 > Lehr1","KONICA MINOLTA bizhub 4700P","A63N021042979","10.16.38.24","5623#COK/N237355","","Imaging Unit","87%"
"Direct Sales > Pilkington Polska > Pilkington Automotive > PL10 > Lehr1","KONICA MINOLTA bizhub 4700P","A63N021043013","10.16.38.23","5623#COK/N237351","","Imaging Unit","47%"
"Direct Sales > Pilkington Polska > Pilkington Automotive > PL10 > Lehr1","KONICA MINOLTA bizhub 4700P","A63N021043013","10.16.38.23","5623#COK/N237351","","Maintenance Kit","87%"
"Direct Sales > Pilkington Polska > Pilkington Automotive > PL10 > Lehr1","KONICA MINOLTA bizhub 4700P","A63N021042979","10.16.38.24","5623#COK/N237355","","Maintenance Kit","100%"
"Direct Sales > Pilkington Polska > Pilkington Automotive > PL10 > Lehr1","KONICA MINOLTA bizhub 4700P","A63N021043010","10.16.38.21","5623#COK/N237357","","Maintenance Kit","91%"
"Direct Sales > Pilkington Polska > Pilkington Automotive > PL10 > Lehr1","KONICA MINOLTA bizhub 4700P","A63N021043447","10.16.37.44","5623#COK/N237353","","Maintenance Kit","62%"
"Direct Sales > Pilkington Polska > Pilkington Automotive > PL10 > Lehr1","KONICA MINOLTA bizhub 4700P","A63N021043000","10.16.38.25","5623#COK/N237349","","Maintenance Kit","88%"
"Direct Sales > Pilkington Polska > Pilkington Automotive > PL10 > Lehr1","KONICA MINOLTA bizhub 4700P","A63N021043000","10.16.38.25","5623#COK/N237349","","Toner czarny",""
"Direct Sales > Pilkington Polska > Pilkington Automotive > PL10 > Lehr1","KONICA MINOLTA bizhub 4700P","A63N021043000","10.16.38.25","5623#COK/N237349","","Zesp obraz.","52%"
"Direct Sales > Pilkington Polska > Pilkington Automotive > PL10 > Lehr1","KONICA MINOLTA bizhub 4700P","A63N021043447","10.16.37.44","5623#COK/N237353","","Zesp obraz.","20%"
"Direct Sales > Pilkington Polska > Pilkington Automotive > PL10 > Lehr1","KONICA MINOLTA bizhub 4700P","A63N021043010","10.16.38.21","5623#COK/N237357","","Zesp obraz.","70%"
"Direct Sales > Pilkington Polska > Pilkington Automotive > PL10 > Lehr1","KONICA MINOLTA bizhub 4700P","A63N021042979","10.16.38.24","5623#COK/N237355","","Zesp obraz.","89%"
"Direct Sales > Pilkington Polska > Pilkington Automotive > PL10 > Lehr1","KONICA MINOLTA bizhub 4700P","A63N021043013","10.16.38.23","5623#COK/N237351","","Zesp obraz.","54%"
"Direct Sales > Pilkington Polska > Pilkington Automotive > PL10 > Lehr1","KONICA MINOLTA bizhub 4700P","A63N021042979","10.16.38.24","5623#COK/N237355","","Zespół obraz.","87%"
"Direct Sales > Pilkington Polska > Pilkington Automotive > PL10 > Lehr1","KONICA MINOLTA bizhub 4700P","A63N021043013","10.16.38.23","5623#COK/N237351","","Zespół obraz.","47%"
"Direct Sales > Pilkington Polska > Pilkington Automotive > PL10 > Lehr1","KONICA MINOLTA bizhub 4700P","A63N021043010","10.16.38.21","5623#COK/N237357","","Zespół obraz.","67%"
"Direct Sales > Pilkington Polska > Pilkington Automotive > PL10 > Lehr1","KONICA MINOLTA bizhub 4700P","A63N021043447","10.16.37.44","5623#COK/N237353","","Zespół obraz.","7%"
"Direct Sales > Pilkington Polska > Pilkington Automotive > PL10 > Lehr1","KONICA MINOLTA bizhub 4700P","A63N021043000","10.16.38.25","5623#COK/N237349","","Zespół obraz.","51%"
"Direct Sales > Pilkington Polska > Pilkington Automotive > PL10 > Lehr1","KONICA MINOLTA bizhub 4700P","A63N021043000","10.16.38.25","5623#COK/N237349","","Zestaw konserw.","88%"
"Direct Sales > Pilkington Polska > Pilkington Automotive > PL10 > Lehr1","KONICA MINOLTA bizhub 4700P","A63N021043447","10.16.37.44","5623#COK/N237353","","Zestaw konserw.","62%"
"Direct Sales > Pilkington Polska > Pilkington Automotive > PL10 > Lehr1","KONICA MINOLTA bizhub 4700P","A63N021043010","10.16.38.21","5623#COK/N237357","","Zestaw konserw.","91%"
"Direct Sales > Pilkington Polska > Pilkington Automotive > PL10 > Lehr1","KONICA MINOLTA bizhub 4700P","A63N021043013","10.16.38.23","5623#COK/N237351","","Zestaw konserw.","87%"
"Direct Sales > Pilkington Polska > Pilkington Automotive > PL10 > Lehr1","KONICA MINOLTA bizhub 4700P","A63N021042979","10.16.38.24","5623#COK/N237355","","Zestaw konserw.","100%"
"Direct Sales > Pilkington Polska > Pilkington Automotive > PL10 > Lehr2","KONICA MINOLTA bizhub 4700P","A63N021044589","10.16.38.19","5623#COK/N237347","","Imaging Unit","88%"
"Direct Sales > Pilkington Polska > Pilkington Automotive > PL10 > Lehr2","KONICA MINOLTA bizhub 4700P","A63N021044551","10.16.38.18","5623#COK/N237343","","Imaging Unit","58%"
"Direct Sales > Pilkington Polska > Pilkington Automotive > PL10 > Lehr2","KONICA MINOLTA bizhub 4700P","A63N021043460","10.16.37.254","5623#COK/N237327","","Imaging Unit","78%"
"Direct Sales > Pilkington Polska > Pilkington Automotive > PL10 > Lehr2","KONICA MINOLTA bizhub 4700P","A63N021044583","10.16.38.7","5623#COK/N237323","","Imaging Unit","73%"
"Direct Sales > Pilkington Polska > Pilkington Automotive > PL10 > Lehr2","KONICA MINOLTA bizhub 4700P","A63N021044555","10.16.38.17","5623#COK/N237345","","Imaging Unit","52%"
"Direct Sales > Pilkington Polska > Pilkington Automotive > PL10 > Lehr2","KONICA MINOLTA bizhub 4700P","A63N021043427","10.16.37.252","5623#COK/N237325","","Imaging Unit","83%"
"Direct Sales > Pilkington Polska > Pilkington Automotive > PL10 > Lehr2","KONICA MINOLTA bizhub 4700P","A63N021043427","10.16.37.252","5623#COK/N237325","","Maintenance Kit","100%"
"Direct Sales > Pilkington Polska > Pilkington Automotive > PL10 > Lehr2","KONICA MINOLTA bizhub 4700P","A63N021044555","10.16.38.17","5623#COK/N237345","","Maintenance Kit","88%"
"Direct Sales > Pilkington Polska > Pilkington Automotive > PL10 > Lehr2","KONICA MINOLTA bizhub 4700P","A63N021044583","10.16.38.7","5623#COK/N237323","","Maintenance Kit","92%"
"Direct Sales > Pilkington Polska > Pilkington Automotive > PL10 > Lehr2","KONICA MINOLTA bizhub 4700P","A63N021043460","10.16.37.254","5623#COK/N237327","","Maintenance Kit","94%"
"Direct Sales > Pilkington Polska > Pilkington Automotive > PL10 > Lehr2","KONICA MINOLTA bizhub 4700P","A63N021044551","10.16.38.18","5623#COK/N237343","","Maintenance Kit","89%"
"Direct Sales > Pilkington Polska > Pilkington Automotive > PL10 > Lehr2","KONICA MINOLTA bizhub 4700P","A63N021044589","10.16.38.19","5623#COK/N237347","","Maintenance Kit","74%"
"Direct Sales > Pilkington Polska > Pilkington Automotive > PL10 > Lehr2","KONICA MINOLTA bizhub 4700P","A63N021043460","10.16.37.254","5623#COK/N237327","","Toner czarny",""
"Direct Sales > Pilkington Polska > Pilkington Automotive > PL10 > Lehr2","KONICA MINOLTA bizhub 4700P","A63N021044555","10.16.38.17","5623#COK/N237345","","Toner czarny",""
"Direct Sales > Pilkington Polska > Pilkington Automotive > PL10 > Lehr2","KONICA MINOLTA bizhub 4700P","A63N021044555","10.16.38.17","5623#COK/N237345","","Zesp obraz.","58%"
"Direct Sales > Pilkington Polska > Pilkington Automotive > PL10 > Lehr2","KONICA MINOLTA bizhub 4700P","A63N021044583","10.16.38.7","5623#COK/N237323","","Zesp obraz.","74%"
"Direct Sales > Pilkington Polska > Pilkington Automotive > PL10 > Lehr2","KONICA MINOLTA bizhub 4700P","A63N021043427","10.16.37.252","5623#COK/N237325","","Zesp obraz.","84%"
"Direct Sales > Pilkington Polska > Pilkington Automotive > PL10 > Lehr2","KONICA MINOLTA bizhub 4700P","A63N021044551","10.16.38.18","5623#COK/N237343","","Zesp obraz.","62%"
"Direct Sales > Pilkington Polska > Pilkington Automotive > PL10 > Lehr2","KONICA MINOLTA bizhub 4700P","A63N021044589","10.16.38.19","5623#COK/N237347","","Zesp obraz.","30%"
